course_title,subject_catalog,instructors,year_term,term_type,start_date,end_date,start_time,end_time,weekdays,class_number,course_id,consent,enrolled,waitlist,lecture_sunday,lecture_monday,lecture_tuesday,lecture_wednesday,lecture_thursday,lecture_friday,lecture_saturday,description,notes,school,units,cross_registration,department,course_component,instruction_mode,grading_basis,course_requirements,general_education,quantitative_reasoning,divisional_distribution
"Water, Weather and Climate",ENG-SCI  233,Kaighin McColl,2025 Fall,Full Term,2025-09-02,2025-12-03,4:30pm,5:45pm,Mon Wed,17029,212719,No Consent,0,0,False,True,False,True,False,False,False,"This course provides a graduate-level introduction to the global hydrologic cycle and relevant terrestrial and atmospheric processes. It covers the concepts of water and energy balance; atmospheric radiation, composition and circulation; precipitation formation; evaporation and vegetation transpiration; dynamics of the atmospheric boundary layer (ABL), and its coupling with the land surface; boundary layer clouds; atmospheric chemistry within the ABL; and groundwater flow and unsaturated zone processes.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Engineering Sciences,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,Science & Engineering & Applied Science
Landscape Ecology,OEB  314,Andrew Davies,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,12570,213667,Instructor,0,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Organismic & Evolutionary Biol,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Experience-Based Brain Development: Causes and Consequences,NEURO  146,Takao Hensch,2025 Fall,Full Term,2025-09-02,2025-12-03,3:00pm,4:15pm,Tue Thu,17527,212831,Instructor,0,0,False,False,True,False,True,False,False,"At no time in life does the surrounding environment so potently shape brain function as in infancy and early childhood. This course integrates molecular/cellular biology with systems neuroscience to explore biological mechanisms underlying critical periods in brain development. Understanding how neuronal circuits are sculpted by experience will motivate further consideration of the social impact on therapy, education, policy, and ethics.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Neuroscience,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,Science & Engineering & Applied Science
Religion and Liberation Around Toni Morrison and Gabriel García Márquez: Writings and Lives,HDS 2052,Davíd L. Carrasco,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,16849,213662,Instructor,0/20,0,False,False,False,False,False,False,False,"In 1995 Toni Morrison and Gabriel García Márquez met for the first time in Mexico City and spoke about their writings, editors, lives and literary influences. The Colombian writer showed his deep knowledge of Morrison’s novels and Morrison thanked him as a resource for religious themes in her writings. Later, in an interview with Professor Carrasco, Morrison stated, “When I read his book One Hundred Years of Solitude, I literally said, “Oh, my God, you can do this”—meaning magic, strange stuff—and be deadly serious. So, that freed me up in my writing. Reading him unlocked something important for me. ”This course is a comparative and critical study of the religious dimensions in their writings and lives with special attention to the themes of religious experience, homeland and quests, Africa and Latin America, ""rememory"" and myths, goodness and the literary imagination. We engage with four types of “texts” and link them together to decipher the ties between the writer’s lives, countries, politics, liberation movements and their writings; autobiographical fragments, novels, film, critical reflections. For Morrison we will use the film “Toni Morrison: The Pieces I Am” and interviews as autobiographical fragments. For García Márquez we will read his autobiography, Living to Tell the Tale and interviews. Novels include Song of Solomon, Beloved, Home, A Mercy, One Hundred Years of Solitude, Chronicle of a Death Foretold. This course will not be open to auditors. Students have the opportunity to write a research paper, take a final written exam or do a creative project.",,Harvard Divinity School,4,Available for BTI Cross Registration,Divinity School,Seminar,In Person,HDS Student Option (LG/SUS),N/A,,,
Climate and Atmospheric Physics Laboratory,E-PSCI  129,Marianna Linz,2025 Fall,Full Term,2025-09-02,2025-12-03,12:45pm,3:30pm,Thu,16983,213672,No Consent,0,0,False,False,False,False,True,False,False,"This course will take a hands-on approach to learning climate and atmospheric physics. Some of the topics covered will include the Greenhouse effect, hurricanes, climate variability, the jet stream, and global climate modeling. Students will learn to create effective data visualizations and read scientific literature. Each week will have one 165-minute session to perform laboratory experiments, run models, or analyze data. In this flipped-classroom environment, knowledge transfer will occur primarily outside of class through readings and pre-class assignments in preparation for each session.","E-PSCI 129 is also offered as ESE 129. Students may not take both for credit. For SB students: this course can only count as a science elective in the concentration requirements, and SB students must enroll in E-PSCI 129. AB students may enroll in either E-PSCI 129 or ESE 129 to meet their concentration requirements. This course fulfills the EPS sub-discipline requirement of Climate, Atmosphere, and Oceans.",Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Earth & Planetary Sciences,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,Science & Engineering & Applied Science
Graduate Research - Barrett Lab,IMMUN  366L,Nora Barrett,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,12575,213722,No Consent,0,0,False,False,False,False,False,False,False,Graduate students register for this course when they permanently join a lab. Students should register under the supervising PI.,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Climate Physics,ENG-SCI  367,Marianna Linz,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,12810,213687,Instructor,0,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Not Available for Cross Registration,Engineering Sciences,Thesis Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Research Development Course: Strategy Field,HBSDOC 4118,,2025 Fall,Full Term,None,None,,,,19708,216793,Instructor,0,0,False,False,False,False,False,False,False,"The objectives of the course are to: (1) provide a structured research experience for HBS Strategy doctoral students centered on a series of milestone student presentations; (2) learn about the process of conducting, publishing, and evaluating research; (3) build a supportive research community between students and faculty that prioritizes curiosity, reflection, and open exchange of early-stage ideas.",,Business School Doctoral,4,Available for Harvard Cross Registration,Business School Doctoral,Regular Course,N/A,HBSD Satisfactory/Unsatisfactory,N/A,,,
Mechanisms of spinal plasticity and motor control in humans,NEUROBIO  390L,Randy Trumbower,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,12577,213725,No Consent,0,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Enteric nervous system regulation of gastrointestinal and metabolic homeostasis,NEUROBIO  389L,Meenakshi Rao,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,12576,213724,No Consent,0,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Artificial Intelligence for Social Good,COMPSCI 3850,Milind Tambe,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,12757,213680,Instructor,0,0,False,False,False,False,False,False,False,,This course was previously numbered CS 385.,Faculty of Arts & Sciences,4,Not Available for Cross Registration,Computer Science,Thesis Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Graduate Research-Rakoff-Nahoum Lab,BBS  336DR,Seth Rakoff-Nahoum,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,10465,217883,Instructor,0,0,False,False,False,False,False,False,False,Graduate students register for this course when they permanently join a lab. Students should register under the supervising PI.,,Faculty of Arts & Sciences,4,Not Available for Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Graduate Research-Manguso Lab,IMMUN  336DR,Robert Manguso,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,10466,217884,Instructor,0,0,False,False,False,False,False,False,False,Graduate students register for this course when they permanently join a lab. Students should register under the supervising PI.,,Faculty of Arts & Sciences,4,Not Available for Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Spatial and Temporal Genomics,SCRB  355,Fei Chen,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,10468,217903,No Consent,0,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Stem Cell & Regenerative Biol,Thesis Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Graduate Research - Gaiha Lab,VIROLOGY  320DR,Gaurav Gaiha,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,10471,217910,Instructor,0,0,False,False,False,False,False,False,False,Graduate students register for this course when they permanently join a lab. Students should register under the supervising PI.,,Faculty of Arts & Sciences,4,Not Available for Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Graduate Research – Lee Lab,BBS  338DR,Amy Lee,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,10469,217908,Instructor,0,0,False,False,False,False,False,False,False,Graduate students register for this course when they permanently join a lab. Students should register under the supervising PI.,,Faculty of Arts & Sciences,4,Not Available for Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Early-Stage Research and Discussions on Urban Economics,ECON 2922,"Gabriel Kreindler, Edward Glaeser",2025 Fall,Full Term,2025-09-02,2025-12-03,3:00pm,4:15pm,Thu,13032,216815,No Consent,0,0,False,False,False,False,True,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Economics,Reading and Research,N/A,FAS Letter Graded,N/A,N/A,N/A,Social Sciences
Graduate research – Regenerative and Reproductive Biology,SCRB  340,Kara McKinley,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,10453,217912,No Consent,0,0,False,False,False,False,False,False,False,Graduate students register for this course when they permanently join a lab. Students should register under the supervising PI.,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Stem Cell & Regenerative Biol,Thesis Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
SHBT Research,SHBT  318,Artur Indzhykulian,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,13133,216829,Instructor,0/30,0,False,False,False,False,False,False,False,Upper level SHBT students register for this course when they permanently join a lab. Students should register under the dissertation advisor.,,Faculty of Arts & Sciences,4,Not Available for Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Frontiers in Therapeutics: Science of Health,SCRB  297,"Mark Fishman, Douglas Melton, Navid Ghaffari",2025 Fall,Full Term,2025-09-02,2025-12-03,1:30pm,2:45pm,Mon Wed,13193,218466,Instructor,0,0,False,True,False,True,False,False,False,"We ask in this class how fundamental science can be harnessed to change human health.  We explore fundamental biological pathways related to unsolved medical needs (such as addiction, pain, obesity, and schizophrenia), and think about how best to target these using a range of therapeutic approaches (such as chemicals, proteins, CRISPR, and gene therapy). Discussions are led by fundamental, medical, and biotechnological scientists.  Students will learn to evaluate the credibility of proposed novel therapeutic opportunities.",Only for graduate students enrolled in the MS/MBA program in Biotechnology: Life Sciences. All undergraduates should register for SCRB 197.,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Stem Cell & Regenerative Biol,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,Science & Engineering & Applied Science
Topics in theoretical AMO/Quantum Optics,PHYSICS  320B,Susanne Yelin,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,13521,217918,Instructor,0,0,False,False,False,False,False,False,False,Dissertation research. Not a lecture or seminar course.,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Physics,Doctoral Dissertation,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Pessoa and the Poetry of the Selves,PORTUG  183,Josiah Blackmore,2025 Fall,Full Term,2025-09-02,2025-12-03,12:45pm,2:45pm,Thu,16890,218498,No Consent,0,0,False,False,False,False,True,False,False,"This course considers the writings of Fernando Pessoa and a company of authors in a wide-ranging study of Portuguese modernism.  We will study poetry, prose, and visual culture in order to grasp modernist understandings of the individual in the world, gender, sexuality, national identity, and the emergence of feminism in Portugal.  Pessoa and his contemporaries left a lasting legacy in Portuguese culture and in western letters, and we will see how such a legacy was forged in the first decades of the twentieth century.  In addition to Pessoa, we will read other modernist writers, including (but not limited to) Mário de Sá-Carneiro, Florbela Espanca, António Botto, Judith Teixeira, Almada Negreiros, Violante de Cysneiros, and Adolfo Casais Monteiro.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Romance Languages & Lit,Seminar,N/A,FAS Letter Graded,N/A,N/A,N/A,Arts and Humanities
Corporate Power & Human Rights—Community Resistance and Social Movements,FYSEMR   72P,Tyler Giannini,2025 Fall,Full Term,2025-09-02,2025-12-03,9:00am,11:30am,Thu,13973,218514,Instructor,0/12,0,False,False,False,False,True,False,False,"How do the seemingly most marginalized take on the most powerful corporations in the world and win? In this seminar, we will delve into this question and what drives community resistance and social movements in the face of frequently daunting odds. We will zero in on community resistance in its many forms when confronting abusive corporations and authoritarian governments often supporting them. Through case studies involving natural gas in Myanmar, gold mining in Papua New Guinea, and chocolate in West Africa, we will discuss both the harms communities experience and how communities can have a seat at the table to demand their rights and take on oppressive systems. We will also look at how North America is implicated in these cases and consider the power dynamics between communities, advocates, businesses, and states that span borders and different cultures. We will also look at ways that communities can build their own power through the solidarity economy and how advocates cannot only combat economic injustice but build their visions of economic justice for the future.",,Faculty of Arts & Sciences,4,Not Available for Cross Registration,First Year Seminar Program,Seminar,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Reading Course for Senior Honors Candidates,MATH   60R,Cliff Taubes,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,13536,216307,No Consent,0,0,False,False,False,False,False,False,False,Mathematics concentrators in their final two undergraduate semesters can take this course to work individually on their senior thesis.,Limited to candidates in Mathematics who obtain the permission of both the faculty member under whom they want to work and the Director of Undergraduate Studies.  May not count for concentration in Mathematics without special permission from the Director of Undergraduate Studies.  Graded sat/ unsat only.,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Mathematics,Independent Study,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,Science & Engineering & Applied Science
Graduate Reading in Number Theory,MATH  397,Melanie Wood,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,13616,216330,Instructor,0,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Mathematics,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
The Science and Psychology of Music,PSY 1018,Mayron Pereira Piccolo Ribeiro,2025 Fall,Full Term,2025-09-02,2025-12-03,1:30pm,2:45pm,Tue Thu,13932,218517,Instructor,0/50,0,False,False,True,False,True,False,False,"Music is an important ally when we feel like celebrating and when we are feeling down. It can distract us, make us forget or remember things more easily. Why do songs like “The Scientist” give us a sad vibe while songs like “I Got a Feeling” set the stage for a fun night ahead? Is music training like CrossFit for the brain? How can music engagement (i.e., passive listening or active making of music) support well-being? In this course, we will explore how music modulates our thoughts, feelings, and behaviors through the lens of psychological science. We will look at how the brain experiences music and the impact of music and musical training on brain plasticity throughout different stages of development. Finally, using empirical research and case studies, we will discuss how music is applied to daily life and how it has benefited premature babies, individuals with mental disorders (such as depression), as well as conditions such as Alzheimer’s disease and Parkinson’s disease.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Psychology,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,Social Sciences
Field and Lab-Based Seminar on Local Pollution Issues,E-PSCI  169,Elsie Sunderland,2025 Fall,Full Term,2025-09-02,2025-12-03,10:30am,11:45am,Tue Thu,16985,216016,Instructor,0/18,0,False,False,True,False,True,False,False,"This course provides a cross-disciplinary overview of environmental science and how research contributes to public policy and human health risk assessment through a case study of a local pollution issue. The course will focus on exposing students to a combination of field, lab and modeling techniques used in environmental sciences through an intensive study of factors affecting the bioaccumulation of contaminants on Cape Cod, MA. The class will include field visits, lab work, and interactive group research aimed at synthesizing research findings. Experience conducting multidisciplinary environmental research and data analysis will be provided.Course Activities: Lectures, discussions, presentations, field/lab research, data analysis.","EPS 169 is also offered as ESE 169. Students may not take both for credit. The total class capacity of 18 includes students in both EPS 169 and ESE 169. This course fulfills the EPS sub-discipline requirement of Climate, Atmosphere, and Oceans.",Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Earth & Planetary Sciences,Seminar,N/A,FAS Letter Graded,N/A,N/A,N/A,Science & Engineering & Applied Science
Magic Today: An Anthropological Perspective,HDS 3113,Giovanna Parmigiani,2025 Fall,Full Term,2025-09-02,2025-12-03,3:00pm,4:59pm,Mon,19643,216342,Instructor,0/20,0,False,True,False,False,False,False,False,"What is magic? Is it different from religion? Is magic a way of knowing? In this course, we look at magic from an anthropological perspective. We focus, in particular, on contemporary magic in Europe and North America, addressing for example contemporary paganisms, Wicca, chaos magic, new age spirituality, and contemporary esotericism. By engaging with ethnographic works, students become acquainted with or deepen their knowledge of the main issues, traditions, debates, and research in the field of the anthropology of religion and of magic. Students analyze contemporary magic vis-á-vis popular culture, feminism, globalization, medicine, social media, history, and well-being. They do so through ethnographic readings, films, music, arts, discussions, and independent research",,Harvard Divinity School,4,Available for BTI Cross Registration,Divinity School,Conference Course,In Person,HDS Letter Graded,N/A,,,
"Physics of Soft, Active and Sentient Matter",PHYSICS  322B,L Mahadevan,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,12991,215740,Instructor,0,0,False,False,False,False,False,False,False,Dissertation research. Not a lecture or seminar course.,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Physics,Doctoral Dissertation,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Topics in biophysics and physical chemistry,PHYSICS  316B,Adam Cohen,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,12989,215742,Instructor,0,0,False,False,False,False,False,False,False,Dissertation research. Not a lecture or seminar course.,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Physics,Doctoral Dissertation,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Experimental Condensed Matter Physics and Biophysics,PHYSICS  310A,Hongkun Park,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,12984,215747,Instructor,0,0,False,False,False,False,False,False,False,Reading and research. Not a lecture or seminar course.,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Physics,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Experimental Astrophysics and Cosmology,PHYSICS  308A,John Kovac,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,12982,215745,Instructor,0,0,False,False,False,False,False,False,False,Reading and research. Not a lecture or seminar course.,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Physics,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Topics in Statistical Physics,PHYSICS  312B,Michael P. Brenner,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,12987,215750,Instructor,0,0,False,False,False,False,False,False,False,Dissertation research. Not a lecture or seminar course.,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Physics,Doctoral Dissertation,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Topics in Statistical Physics,PHYSICS  312A,Michael P. Brenner,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,12986,215749,Instructor,0,0,False,False,False,False,False,False,False,Reading and research. Not a lecture or seminar course.,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Physics,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Reading Group on Topics in Financial Economics,ECON 2911,Emil Siriwardane,2025 Fall,Full Term,2025-09-02,2025-12-03,2:00pm,3:30pm,Fri,13588,215766,Instructor,0/30,0,False,False,False,False,False,True,False,"This course presents and discusses new developments in the field of financial economics. Students will present a recent academic research paper in the field and discuss its contribution, strengths, and weaknesses. Theory and empirical work will both be covered. Examples of specific topics include capital market pricing, financial intermediation, international finance, corporate finance, and household finance. This course is designed for doctoral students and will be moderated by faculty with relevant research expertise.This course is cross listed with HBSDOC 4918",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Economics,Reading Course,N/A,FAS Letter Graded,N/A,N/A,N/A,Social Sciences
Neuroimaging and Big Data in Connectomics: Advances in Understanding the Wiring of the Brain,MBB  980V,Lisa Nickerson,2025 Fall,Full Term,2025-09-02,2025-12-03,3:00pm,5:00pm,Tue,15575,215757,Instructor,0/15,0,False,False,True,False,False,False,False,"Constructing a map of the connections between the 86 billion neurons in the human brain has been a goal of neuroscience since the field originated. Connectomics research, which aims to understand how the brain is wired together into this map, has shown the human brain to be a complex network with the same properties that other complex networks exhibit. Much like our social networks, the world wide web, and our travel systems, the brain demonstrates organization along similar principles as these networks and can be studied using techniques adapted from network science. Using this ""network neuroscience"" approach has shown that the brain's gray matter is organized into a functional connectome comprised of modules called brain networks that orchestrate their functions to support our everyday activities. More recently, advances in another MRI technique called diffusion MRI have made it possible to study the organization of the brain’s white matter ""information highways"", or structural connectome, that transmit information from brain region-to-brain region, brain network-to-brain network. MRI-based connectomics is a rapidly growing field, with new methods and applications evolving at an incredibly fast pace and there are now numerous large-scale neuroimaging initiatives across the world that are aimed at mapping the human brain connectome. These studies aim to map the human brain connectome across the lifespan, from in utero to the oldest old, and in brain disorders such as mental illnesses, developmental disorders, neurological disorders and other health conditions. The goal of this class is to understand how MRI can be used to study the living human brain connectome and the latest advances these approaches have revealed in our understanding of the wiring of the brain. We will also dive into some of the large-scale neuroimaging datasets to see how we can leverage these open access resources for connectomics research. This course is designed for students in the MBB programs who are interested in learning about how we study brain connectivity and how the brain is organized, including those who are interested in neuroscience applications and brain disorders and those interested in bioinformatics/computer science/statistics/physics applications in neuroimaging. To unlock the “black box” nature of the sophisticated MRI methods used for connectomics research, we will learn the basics of the workhorse MRI connectomics methods, functional and diffusion MRI, from a conceptual perspective. We will learn how each of these techniques is used for connectomics studies and some key methodological and interpretational issues for each. Then we will focus on the brain’s connectome. We will discuss brain organization, including how to construct a brain graph as the mathematical embodiment of the brain’s connectome and how to evaluate the brain’s network properties using graph theory and other approaches, the brain networks that have been reported in the literature, and the links between structural and functional connectomes. We will do a survey of widely used open access tools for connectivity and connectome analyses, and open access connectome datasets with sample sizes of hundreds up to a hundred thousand, including the Human Connectome Lifespan and Disease Connectome studies, the ABCD study, and the UK Biobank. These datasets will also be used as hypothetical data sources for your final research projects. Last, we will discuss ethical, computational, and statistical issues when working with these large open access datasets.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,"Mind, Brain & Behavior",Seminar,N/A,FAS Letter Graded,N/A,N/A,N/A,Science & Engineering & Applied Science
"The Devil’s Teeth: Archives of Health, History, and Climate",HEB  189,Daniel Green,2025 Fall,Full Term,2025-09-02,2025-12-03,9:45am,11:45am,Wed,19129,226498,Instructor,0/8,0,False,False,False,True,False,False,False,"From childhood lead exposure, to the pathways and practices of our ancestors millions of years ago, teeth retain incredible records of our collective pasts. This course examines teeth from two main perspectives. The first is medical and dental, examining the developmental biology and mineralogy of how teeth form, and how formation can fail in the context of health crises. The second is historical: the class will learn how teeth are records of past history and climate, even into deep time, millions of years into the past. Every week, we will read contemporary scientific literature on teeth from multiple perspectives. In the second half of the course, students will work collectively on a research project.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Human Evolutionary Biology,Seminar,N/A,FAS Letter Graded,N/A,N/A,N/A,N/A
What is Biblical Hebrew?,HDS 1628,Vladimir Olivero,2025 Fall,Full Term,2025-09-02,2025-12-03,3:00pm,5:45pm,Wed,19130,226499,Instructor,0,0,False,False,False,True,False,False,False,"Biblical Hebrew is taught and often studied as a monolithic entity, despite the widespread recognition that behind this label lies a more complex reality. The goal of this course is twofold: first, to familiarize the students with the variety of attested reading traditions and, second, to introduce them to the periodization of Biblical Hebrew. In each case we will read portions of texts to better grasp the main linguistic differences between reading traditions and between chronolects, and to understand the interpretative implications of such differences. We will begin with a detailed and advanced study of the Tiberian reading tradition, whose basic features the students already know. We will then explore the less known, yet prestigious, Babylonian reading tradition, which we will compare to the more familiar Tiberian one. Finally, the students will be introduced to the so-called popular reading traditions, that is the Palestinian reading tradition and the transliterations of portions of texts and words of the Hebrew Bible into Greek (e.g., Origen’s Secunda and those found in the Septuagint) and into Latin (e.g., Jerome). To conclude our study of reading traditions, we will study the Samaritan reading tradition and read portions of the Samaritan Pentateuch. With regards to periodization and linguistic diachrony, the students will be introduced to the distinctive features (mostly syntactic and semantic) of the three main chronolects of Biblical Hebrew and their respective textual corpora: Classical Biblical Hebrew (pre-exilic); Transitional Biblical Hebrew (exilic); Late Biblical Hebrew (post-exilic). Epigraphic Hebrew and textual criticism will help illustrate how chronolects can be further assessed.Jointly offered with the Faculty of Arts and Sciences as CLAS-HEB 138.",,Harvard Divinity School,4,Not Available for BTI Cross Registration,Divinity School,Lecture,In Person,HDS Student Option (LG/SUS),N/A,,,
Kleinstiver lab,GENETIC  325L,Benjamin Kleinstiver,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,13141,215769,No Consent,0,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
The House of Allāh: Origin and History of the Meccan Sanctuary,RELIGION 1801,Mohsen Goudarzi,2025 Fall,Full Term,2025-09-02,2025-12-03,4:00pm,6:00pm,Thu,19108,226496,Instructor,0/30,0,False,False,False,False,True,False,False,"The Meccan Sanctuary, also known as the Kaʿba, is a focal point of worship for Muslims, who pray towards it daily and strive to make a pilgrimage to it at least once in their lifetime. This course is an advanced graduate seminar centered on a host of primary sources (in Arabic) which provide information about Mecca and its shrine in the pre-Islamic and early Islamic periods. We will read sources in the genres of historiography, geography, exegesis, law, hadith, and poetry. We will also engage with secondary academic literature on Mecca, the Kaʿba, and West Arabia's other sacred spaces and festivals.  Requirement: advanced knowledge of classical Arabic (3 years).",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,"Religion, The Study of",Seminar,N/A,FAS Letter Graded,N/A,N/A,N/A,Arts and Humanities
Care Crisis: Late Medieval Vulnerabilities,FRENCH  104,,2025 Fall,Full Term,2025-09-02,2025-12-03,3:00pm,4:15pm,Tue Thu,19139,226500,No Consent,0,0,False,False,True,False,True,False,False,"In the period known as the long fourteenth century, the French kingdom and its people suffered unprecedented violence, corruption, and loss. Imbricating vulnerabilities exposed by plague, the Hundred Years’ war, civil war, pillaging, famine, mental illness, and greed created anincreasingly untenable crisis of care. Equally unprecedented was the sensitivity of late medieval literary writers to these events. Far from serving as mouthpieces to the powerful or entertainers who distract from reality, the literary community spoke out, whether by constructing alternativenarratives, meditating on experiences of fragility and trauma, exposing hidden inequities that target the most vulnerable, or cultivating cultures of care. What can the literature of this period tell us about what it means to be vulnerable? Or what it means to encounter vulnerability with care? Can the intimate activities of writing and reading become a means of expressing, exposing, soliciting, enacting, or provoking such encounters? In this course we will explore these questionsthrough selected works of poetry, prose, music, manuscript documentary evidence, and modern criticism to discover a shared commitment among late medieval literary writers to challenge dominant discourses of power and resiliency, asserting the value of different forms of vulnerability and calling for urgently needed ethics and politics of care.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Romance Languages & Lit,Seminar,N/A,FAS Letter Graded,N/A,N/A,N/A,Arts and Humanities
Advanced Greek I: Topics,HDS 4245,Giovanni Bazzana,2025 Fall,Full Term,2025-09-02,2025-12-03,9:00am,10:15am,Wed Fri,19147,226501,Instructor,0/15,0,False,False,False,True,False,True,False,"This course aims to move students from an intermediate to advanced proficiency with Greek by studying select Christian, pagan, and Jewish texts primarily from late antiquity. A primary purpose is to increase reading comprehension through prepared readings (with review of grammar when necessary).",,Harvard Divinity School,4,Available for BTI Cross Registration,Divinity School,Seminar,In Person,HDS Student Option (LG/SUS),N/A,,,
